building_id,damage_grade
802906,3
28830,2
94947,3
590882,2
201944,3
333020,2
728451,3
475515,1
441126,2
989500,1
7962,3
452227,2
444381,2
287845,3
605134,3
563431,2
633759,2
980230,3
354011,2
483543,3
793397,2
433870,2
219578,2
933368,2
519606,2
801078,3
973909,2
858160,2
466558,2
529366,3
406413,2
16485,2
157370,2
119565,2
141871,3
903120,3
864809,1
252816,3
33651,3
90130,2
306024,2
677028,2
833827,3
180267,2
1005736,2
440102,1
132583,2
362494,2
987864,3
402996,1
871517,2
877361,2
605460,2
288541,1
893477,3
135600,3
987565,3
552720,2
624119,3
302199,2
961851,2
1044113,2
270811,2
767109,3
415067,2
439999,2
799678,2
648002,2
388581,3
612701,3
591993,3
708530,2
645774,3
907445,2
483230,2
1041381,2
425720,1
426951,2
732884,2
206961,3
529881,2
118711,2
965807,3
928851,2
603867,3
67684,3
361363,2
645772,3
931198,2
250898,3
351011,2
852077,3
262843,2
311370,3
722503,3
551423,3
511997,3
266161,2
643474,3
697129,2
623033,2
601975,2
95369,2
96470,2
834001,2
820425,2
627034,2
71947,2
635262,1
792665,2
677652,3
402299,2
843295,2
871860,2
533100,1
790140,2
170270,3
550121,2
32048,3
605667,2
824847,2
799967,3
550067,2
187320,2
767971,2
591587,3
358906,2
247133,2
718071,2
663374,2
849622,2
902337,3
124969,2
402491,3
714885,3
1009839,2
93340,3
656607,2
719281,2
563429,2
958524,2
295363,1
910378,2
238065,2
301655,2
712335,3
569370,2
954281,3
760600,2
618331,3
932074,2
86370,3
890803,2
996541,2
699254,3
294469,2
543292,2
852187,3
187122,2
913994,2
456795,3
838913,2
731999,3
377912,3
60500,2
325898,2
670184,2
638140,3
445215,3
212481,2
964939,2
304846,2
907103,3
757178,3
681221,3
443607,3
561297,2
475461,2
933242,1
206779,3
855142,2
745413,3
76950,1
358013,1
891578,2
492867,3
261907,3
213830,3
911759,3
798975,3
509749,1
959512,2
512910,1
117590,3
566185,1
441023,3
225834,2
504208,3
692192,3
146670,2
838647,2
415919,2
150733,3
930554,2
687280,3
38340,2
542385,2
158901,3
1025864,2
939805,2
794193,2
1015061,2
433188,2
879546,3
29061,2
331971,1
612661,2
497383,2
385806,3
103441,3
184776,3
703296,2
599025,2
419957,2
116876,3
515935,2
122112,2
910366,2
168711,2
343093,2
580903,2
698124,2
633219,2
866259,1
542830,2
586356,3
273988,2
1048981,2
337221,2
921736,1
884288,2
1022710,3
724285,2
14451,2
841664,3
27947,3
207750,3
64707,2
920565,1
145522,2
568881,2
118080,3
75283,2
604893,3
627420,3
536831,2
35282,3
102240,2
510669,3
181389,2
117107,2
566877,2
747500,1
343704,2
524021,3
698407,3
927743,3
618404,2
259577,2
729715,2
545313,3
884932,1
258239,3
887647,2
1049790,2
460282,2
233499,2
453454,3
432609,1
597468,2
1037193,1
89827,2
980021,3
290507,3
988369,2
476996,2
771061,1
65257,3
1038852,2
47497,3
512246,2
790159,2
838560,2
385005,2
1049470,3
511746,2
464443,2
961808,2
270841,3
564897,2
854364,3
457460,3
915464,3
968137,3
462457,2
996470,3
423322,1
192894,3
653339,2
83653,2
898324,1
799072,1
822274,3
975397,2
15665,1
354594,2
374000,1
563238,2
793945,2
5479,3
1005258,2
639564,2
265691,2
226736,2
737045,3
912541,2
908776,2
551411,2
346645,3
964928,1
257919,1
133998,2
194930,2
903580,2
362767,2
719207,3
843540,2
384055,3
925729,1
859958,2
143041,3
888374,1
525359,2
11718,2
259925,2
285746,2
514265,2
903361,2
696371,1
936264,2
865603,3
776026,3
749317,3
979466,3
1036570,3
950437,3
172998,2
246270,2
826011,3
884517,3
394060,3
602392,2
363074,1
637782,2
818888,2
692413,2
334390,2
872438,2
34714,2
204676,3
670830,2
294272,2
121645,2
679111,1
5373,2
175764,3
1037250,2
258072,3
376403,3
810700,3
406694,2
799900,2
366012,2
569940,2
410519,3
170930,3
435557,2
421977,3
786375,3
12966,2
959547,1
416978,2
70196,2
349703,2
795046,2
13360,3
835610,1
337470,2
42674,3
1032526,3
632119,2
818091,2
314523,3
870237,2
568171,3
635649,3
1015675,2
915971,3
710633,3
21514,2
19963,2
402609,2
753674,3
324885,1
933489,2
862747,2
475344,2
842498,3
318782,3
370360,2
500500,2
958117,2
905317,3
552111,2
101629,3
834807,1
511762,2
231900,2
798797,2
613201,2
115798,3
138623,2
350829,3
594270,1
576520,1
86951,2
343800,2
220340,1
272644,2
873535,2
360730,3
34371,2
719278,2
529478,3
762450,3
338761,3
404219,3
923241,3
828538,3
586030,3
874667,2
905296,3
158537,2
839504,2
964149,3
925964,3
1050285,2
521772,2
54461,1
221511,1
394600,3
782109,2
203261,1
204664,1
175742,2
189566,2
758110,1
446701,2
180957,2
846487,1
157388,3
656039,2
393373,2
848600,2
142654,2
749748,2
412535,2
828731,2
541494,2
547954,3
605120,2
1024429,1
671050,1
983312,1
194805,1
752140,2
1044041,3
966653,2
599024,1
918265,2
845581,2
210904,2
108895,3
216520,3
741802,3
573845,2
926959,3
939472,3
539938,3
224125,2
186366,2
372513,3
408829,2
195802,2
708212,2
960436,2
442958,2
2095,2
369584,3
844796,2
509342,3
1040810,2
143285,2
473223,1
650478,3
402686,3
592146,3
402434,2
589409,3
10047,2
709267,2
334577,3
820614,2
828297,3
964299,2
869974,2
162938,2
529575,2
494660,3
473868,3
264295,1
699791,2
352321,1
792717,2
587002,3
303098,2
57143,3
963316,3
504389,3
1035718,2
631967,2
365529,1
108156,2
755376,2
880198,2
624761,2
398696,3
385161,2
932275,3
213402,3
433872,2
591436,3
223579,2
626513,2
670813,3
61316,2
761984,3
153161,2
623252,3
695029,3
614195,2
341746,2
464318,2
358571,2
1039958,2
654242,3
156636,2
850792,3
195023,3
260108,3
931974,2
358361,2
75819,2
946640,2
364248,2
166837,2
445149,2
451626,1
176603,2
702616,2
447643,3
265952,3
989660,3
224516,2
950324,2
297133,1
392566,2
469204,1
667580,3
613917,3
879334,3
815818,2
994920,2
627322,2
769771,2
193895,2
291222,1
621897,3
277880,2
841133,3
810730,2
867168,3
490900,2
140570,2
181589,2
732305,3
290140,2
543611,3
94919,1
79824,2
802955,3
754405,2
698003,2
579517,2
968490,3
200363,2
267182,2
199812,2
256839,2
156922,2
633622,2
127505,2
1004230,2
80657,3
605778,2
1042528,2
125708,3
190811,2
999520,2
13117,2
153723,2
923805,2
23972,3
303516,2
329419,3
366166,2
466762,2
909642,2
375910,2
909560,2
533189,1
649823,3
794192,2
306848,1
691627,3
916862,2
860885,2
637188,1
855836,2
494549,2
223951,3
582556,2
727702,2
524371,2
237658,3
981687,3
700528,2
188873,3
615418,3
444343,3
1050374,1
269301,2
903172,3
562038,2
765212,3
716452,2
517327,3
1028313,2
679968,2
692372,2
470638,3
542390,3
500400,3
724572,3
960218,2
997198,2
1024956,3
136691,3
164203,3
417405,3
458252,2
628052,2
766971,2
765799,3
647304,3
537366,2
555744,2
609774,3
75930,2
507345,3
235883,2
462288,2
475902,2
1031836,2
459527,2
143298,2
808003,2
792223,2
946307,3
286758,2
529159,1
338071,2
12244,1
904055,3
240382,2
333395,2
978688,2
105015,3
925075,3
306738,2
90881,2
662629,3
822616,2
541914,2
133894,2
124466,2
597626,1
490195,2
934906,1
267571,3
783004,3
788968,3
964602,3
496960,3
138890,2
871546,2
1047765,1
233314,2
804936,3
242348,1
521737,2
464027,2
540203,3
776378,2
990790,2
500061,2
591186,2
595723,2
663818,3
788158,2
907660,3
183631,2
31295,3
271658,2
612337,2
359524,1
233302,3
58652,3
426991,1
291907,1
852862,2
340101,2
59811,2
581576,2
57922,2
802845,3
446125,2
293613,3
179913,2
136211,3
115214,2
131468,2
296402,2
752666,2
129374,3
106292,2
539946,3
774433,2
608110,2
344788,3
176654,2
637899,2
1048118,3
917880,1
1015027,2
19645,3
856765,2
841725,2
765852,2
119113,2
447993,2
67924,2
795384,3
409810,2
441078,2
129329,1
68949,2
289989,2
582707,2
257137,2
913266,3
48327,2
505399,2
164881,2
174798,3
322052,2
6220,2
959468,3
854197,1
663193,2
756717,1
87320,3
487092,3
890442,3
57452,2
166539,3
563910,3
448078,3
281886,2
885837,3
487122,3
517025,3
188591,2
1016081,2
635016,3
244988,2
175362,3
153751,2
450051,2
567556,2
180242,2
1037387,3
427709,3
338331,2
175295,1
190657,2
499572,2
404723,2
933382,2
444920,1
859422,2
641115,2
279135,3
136665,3
906214,3
251752,2
741214,3
995045,2
942960,1
31055,1
79484,2
283527,2
821667,3
1046774,3
397613,2
329802,1
62856,3
480897,2
331096,3
20454,3
148451,3
309069,2
1015552,2
161527,3
646352,2
649191,2
738463,2
548124,2
815262,3
74660,2
833968,2
890312,3
787189,2
860456,2
458965,2
107638,2
172467,3
490652,2
682960,3
921648,2
939221,1
492403,2
367619,2
215109,3
865497,3
722025,1
922502,3
829346,2
651553,1
705153,2
801513,2
953909,2
328332,1
86149,1
994663,3
473895,3
825533,2
984945,1
141555,2
889491,2
44720,2
589324,2
973265,2
113742,2
96808,3
664432,1
635694,2
722696,3
467187,2
173762,3
408894,2
465912,2
514459,2
658455,2
723100,2
256826,2
74777,3
115253,3
1021341,2
1022848,2
50846,2
369214,1
529772,2
409189,3
68229,3
160548,3
291586,1
946019,1
435809,1
656655,2
324469,2
1030085,2
1020488,2
926021,2
649443,2
260050,2
117310,2
921315,2
222716,2
311145,2
293077,2
518151,3
768937,2
70936,3
99991,1
765944,1
470563,2
550861,2
43036,2
898068,3
111480,3
153641,3
993948,2
622946,2
321106,2
967362,2
868080,3
463847,2
386120,2
480129,2
595523,3
189516,2
963569,2
235638,3
194608,3
909656,2
728469,2
303039,2
10360,2
603606,2
622401,3
904666,1
1007467,2
392822,2
1025349,3
774429,3
743195,2
468795,2
480814,3
96248,3
923687,3
650567,2
1236,3
1013735,2
394003,3
847949,3
115558,2
1052121,2
364055,2
1323,3
185703,3
91858,3
1034568,2
791397,3
296308,2
794578,2
534275,2
673673,2
534221,2
290980,1
343802,3
10337,2
1013270,2
264205,2
936594,3
897749,2
163423,2
329002,2
1003893,3
749524,1
162441,3
589785,2
800427,3
403199,2
290807,3
60798,2
440148,3
730483,1
905234,2
642796,3
1029428,2
164235,2
981576,2
89335,2
797052,2
904099,3
807983,3
251453,2
960207,1
379490,2
944554,2
612418,2
328451,2
313837,2
231696,1
477543,2
741842,3
831558,2
78198,2
521968,1
129426,2
810212,2
738226,2
403410,3
208337,2
92646,2
204879,2
845483,2
650298,2
325083,3
766923,2
710178,2
758032,2
276625,3
330489,3
802870,2
766679,2
223181,2
668761,3
615175,3
956645,1
1008763,2
258860,2
865391,2
335302,2
975963,3
171513,2
700386,2
731953,3
736764,3
453475,2
139246,2
720228,2
251708,3
921312,3
747774,2
33717,3
817048,2
976868,2
857204,3
115235,3
743307,2
328631,3
402862,2
445902,2
145669,2
1030942,3
640494,2
66045,2
504363,2
185273,2
602164,2
75861,2
90610,3
858734,3
327182,2
411669,3
37322,2
762070,3
716979,3
603257,2
545037,1
485137,2
298863,2
985153,1
663516,3
613281,2
686125,2
785085,3
922942,3
293276,2
17130,2
46946,2
81465,2
122280,2
752890,2
453197,1
398137,2
656357,2
532231,3
532642,2
197467,2
823089,1
490782,3
92280,3
674407,2
828899,2
74455,2
114816,2
564778,2
75895,3
535869,2
850962,3
849997,1
379477,3
687113,3
148232,2
385450,2
844519,3
830201,2
864829,3
421958,2
311165,2
274484,3
550561,3
292048,3
889969,1
317475,3
357681,3
42812,3
371334,2
11313,2
329454,2
987842,3
569645,3
611472,2
165930,2
346395,2
911168,2
656592,2
398233,2
164289,2
181056,2
208488,1
869978,1
967152,2
849250,1
412217,3
731257,3
970704,3
160664,2
784887,2
215431,2
204014,2
88913,1
686573,2
928536,3
28696,2
228660,3
805866,1
527991,3
89201,3
216684,1
555797,2
325474,3
1046978,2
336809,2
274193,1
921324,2
1046618,3
973508,2
726305,1
154407,2
410679,3
63610,1
48262,2
319144,2
1045402,3
854279,2
157383,2
4375,2
656323,2
217057,2
90120,2
447972,3
332744,2
684273,2
400995,3
423950,3
135784,3
939922,2
319593,2
787163,2
742079,1
102819,3
532569,2
387060,2
489396,3
507254,2
258438,2
3777,3
362091,1
226931,3
601511,3
210574,2
702461,1
460382,2
335128,3
208996,1
688489,3
294382,2
822238,2
711275,3
213630,1
261198,2
893681,2
294264,2
853521,2
702107,2
589990,3
304465,3
204073,2
376985,3
342985,2
16508,2
7560,3
244890,2
783865,2
122729,3
670408,2
198122,2
310676,2
86205,3
1025820,3
418572,2
833958,2
427132,3
242057,2
13808,2
899997,3
467843,3
953345,3
451672,3
443930,1
1048854,3
276078,3
844463,3
371428,1
11200,3
929608,3
794510,2
555430,3
571185,1
356954,3
291614,3
712973,2
45284,1
163414,1
27968,3
863731,2
493363,3
106726,1
487208,2
518938,3
614848,3
205410,3
357942,2
1051637,1
42162,3
866888,3
640132,2
306647,2
234975,3
411950,2
82194,3
460926,3
743155,2
956028,3
302507,3
28644,2
460949,3
152755,3
232426,2
310812,3
215003,3
554614,2
441337,2
697661,3
449643,2
87974,1
299992,3
852246,2
365932,1
454895,3
683150,3
223796,2
13596,2
378727,2
1049267,3
561892,2
629375,2
380399,2
65577,3
790549,3
1002998,2
261305,2
51200,1
1004820,2
22246,3
602713,2
263029,2
214556,1
60919,2
238947,1
612234,1
980286,2
656028,3
921185,2
908243,2
292650,1
197783,2
773398,2
794004,3
204847,2
618848,2
128975,2
304133,3
631245,3
815170,2
836757,2
871833,3
898118,2
1004508,2
629630,1
59283,2
336256,1
550284,2
618732,3
115534,2
700524,2
440058,3
636743,3
620569,2
800379,2
581652,3
586012,2
341384,2
417854,2
759782,2
852698,3
1010475,2
493441,2
885671,2
900650,3
678060,2
317652,2
366649,2
61531,3
48683,3
29341,3
809987,3
58279,2
665157,2
